code,num
C1072,698.3027637
C1128,1066.942363
C1456,613.5939553
C1840,526.4496957
C1332,1101.496839
C1563,2146.085904
C1794,970.7457259
C1640,448.7744044
C1377,367.1248405
C2072,230.6922945
C1472,428.5790944
C1006,98.7579129
C1083,450.0970987
C1311,265.5356973
C2676,1.14008811
C2318,129.7494268
C1603,564.9318318
C2523,397.7096308
C2177,144.9373868
C2411,664.170141
C2033,200.0729405
C1604,456.2719774
C2535,372.561208
C1040,423.4197746
C2417,418.5219517
C1812,134.322778
C2253,151.5200041
C1294,538.2480906
C1772,429.3886059
C2646,388.411025
C1152,837.0100251
C2423,110.9469442
C1844,453.7010502
C1318,192.4800385
C1729,81.08767518
C1602,331.1155346
C1239,385.9250716
C1721,561.9997207
C1902,879.3481133
C1855,322.9557934
C2600,392.7351752
C1071,488.2293198
C2295,465.9545138
C1621,547.8068012
C1852,811.8391044
C2555,1107.768544
C1297,440.6390495
C2323,551.8095827
C2215,353.8340405
C2112,303.3511166
C1830,832.5399966
C2602,229.7582628
C2608,1026.678471
C1215,578.5281802
C2369,548.414556
C1158,241.8624403
C1887,627.6294971
C1189,246.1255331
C1637,426.8205952
C1225,166.6703996
C2374,307.9450709
C2397,513.469162
C1105,859.5039771
C1782,429.8946322
C1629,135.4264831
C1708,254.5980317
C2144,490.2100092
C1617,791.7264884
C1149,517.9146695
C1323,381.8216388
C1064,714.8299115
C1019,227.3014361
C2269,548.9735651
C1416,830.0427185
C1250,923.0658018
C1741,418.0782835
C1016,688.9177532
C2675,1074.149696
C2436,687.5196012
C2039,922.008398
C1253,865.5750169
C2028,1102.966262
C1166,305.6915832
C1135,231.7715599
C1216,285.119997
C1593,209.8811295
C1826,171.6830846
C1827,417.0221416
C1564,288.3860566
C1495,962.5506015
C2653,918.9776903
C1392,627.289402
C2128,240.6403346
C1282,607.5168724
C1521,1107.598975
C2076,959.3364143
C1060,595.2936717
C2473,923.9392895
C2557,705.6563041
C1835,839.4771174
C2224,520.3153136
C2222,350.8018017
C2430,818.1546819
C2497,702.5361793
C1494,1128.641654
C1457,599.3063579
C1525,1023.75369
C1712,574.2627182
C2267,981.8621125
C1623,267.0197637
C2131,488.6901976
C2691,1217.305674
C1147,797.1549675
C1692,851.4569933
C1570,798.2511232
C1474,112.1679997
C1633,18.97405259
C2113,510.0543624
C2175,897.9333788
C2303,1577.297819
C2547,596.8643525
C2292,739.6099074
C1496,767.9435648
C1289,356.8902684
C1849,696.1739365
C1003,252.4743289
C2268,456.6929379
C2551,573.164298
C2688,128.8627235
C1030,58.71859163
C1327,31.61331053
C2451,510.7646971
C1749,553.1708643
C1349,278.5721415
C2043,234.744063
C1229,234.794089
C2363,453.3763482
C1414,502.2629054
C2174,493.7764452
C2091,87.3599611
C2335,679.9491197
C1841,86.612318
C2404,95.4828589
C1683,199.7471919
C1038,308.4860875
C2456,198.8778268
C1266,390.0444004
C2152,61.22710016
C1267,276.6629574
C2189,154.0568496
