code,num
C1072,716.3027637
C1128,1084.942363
C1456,631.5939553
C1840,544.4496957
C1332,1119.496839
C1563,2164.085904
C1794,988.7457259
C1640,466.7744044
C1377,385.1248405
C2072,248.6922945
C1472,446.5790944
C1006,116.7579129
C1083,468.0970987
C1311,283.5356973
C2676,19.14008811
C2318,147.7494268
C1603,582.9318318
C2523,415.7096308
C2177,162.9373868
C2411,682.170141
C2033,218.0729405
C1604,474.2719774
C2535,390.561208
C1040,441.4197746
C2417,436.5219517
C1812,152.322778
C2253,169.5200041
C1294,556.2480906
C1772,447.3886059
C2646,406.411025
C1152,855.0100251
C2423,128.9469442
C1844,471.7010502
C1318,210.4800385
C1729,99.0876752
C1602,349.1155346
C1239,403.9250716
C1721,579.9997207
C1902,897.3481133
C1855,340.9557934
C2600,410.7351752
C1071,506.2293198
C2295,483.9545138
C1621,565.8068012
C1852,829.8391044
C2555,1125.768544
C1297,458.6390495
C2323,569.8095827
C2215,371.8340405
C2112,321.3511166
C1830,850.5399966
C2602,247.7582628
C2608,1044.678471
C1215,596.5281802
C2369,566.414556
C1158,259.8624403
C1887,645.6294971
C1189,264.1255331
C1637,444.8205952
C1225,184.6703996
C2374,325.9450709
C2397,531.469162
C1105,877.5039771
C1782,447.8946322
C1629,153.4264831
C1708,272.5980317
C2144,508.2100092
C1617,809.7264884
C1149,535.9146695
C1323,399.8216388
C1064,732.8299115
C1019,245.3014361
C2269,566.9735651
C1416,848.0427185
C1250,941.0658018
C1741,436.0782835
C1016,706.9177532
C2675,1092.149696
C2436,705.5196012
C2039,940.008398
C1253,883.5750169
C2028,1120.966262
C1166,323.6915832
C1135,249.7715599
C1216,303.119997
C1593,227.8811295
C1826,189.6830846
C1827,435.0221416
C1564,306.3860566
C1495,980.5506015
C2653,936.9776903
C1392,645.289402
C2128,258.6403346
C1282,625.5168724
C1521,1125.598975
C2076,977.3364143
C1060,613.2936717
C2473,941.9392895
C2557,723.6563041
C1835,857.4771174
C2224,538.3153136
C2222,368.8018017
C2430,836.1546819
C2497,720.5361793
C1494,1146.641654
C1457,617.3063579
C1525,1041.75369
C1712,592.2627182
C2267,999.862113
C1623,285.0197637
C2131,506.6901976
C2691,1235.305674
C1147,815.1549675
C1692,869.4569933
C1570,816.2511232
C1474,130.1679997
C1633,36.97405259
C2113,528.0543624
C2175,915.9333788
C2303,1595.297819
C2547,614.8643525
C2292,757.6099074
C1496,785.9435648
C1289,374.8902684
C1849,714.1739365
C1003,270.4743289
C2268,474.6929379
C2551,591.164298
C2688,146.8627235
C1030,76.71859163
C1327,49.61331053
C2451,528.7646971
C1749,571.1708643
C1349,296.5721415
C2043,252.744063
C1229,252.794089
C2363,471.3763482
C1414,520.2629054
C2174,511.7764452
C2091,105.3599611
C2335,697.9491197
C1841,104.612318
C2404,113.4828589
C1683,217.7471919
C1038,326.4860875
C2456,216.8778268
C1266,408.0444004
C2152,79.22710016
C1267,294.6629574
C2189,172.0568496
