code,num
C1072,680.3027637
C1128,1048.942363
C1456,595.5939553
C1840,508.4496957
C1332,1083.496839
C1563,2128.085904
C1794,952.7457259
C1640,430.7744044
C1377,349.1248405
C2072,212.6922945
C1472,410.5790944
C1006,80.7579129
C1083,432.0970987
C1311,247.5356973
C2676,-16.85991189
C2318,111.7494268
C1603,546.9318318
C2523,379.7096308
C2177,126.9373868
C2411,646.170141
C2033,182.0729405
C1604,438.2719774
C2535,354.561208
C1040,405.4197746
C2417,400.5219517
C1812,116.322778
C2253,133.5200041
C1294,520.2480906
C1772,411.3886059
C2646,370.411025
C1152,819.0100251
C2423,92.9469442
C1844,435.7010502
C1318,174.4800385
C1729,63.08767518
C1602,313.1155346
C1239,367.9250716
C1721,543.9997207
C1902,861.3481133
C1855,304.9557934
C2600,374.7351752
C1071,470.2293198
C2295,447.9545138
C1621,529.8068012
C1852,793.8391044
C2555,1089.768544
C1297,422.6390495
C2323,533.8095827
C2215,335.8340405
C2112,285.3511166
C1830,814.5399966
C2602,211.7582628
C2608,1008.678471
C1215,560.5281802
C2369,530.414556
C1158,223.8624403
C1887,609.6294971
C1189,228.1255331
C1637,408.8205952
C1225,148.6703996
C2374,289.9450709
C2397,495.469162
C1105,841.5039771
C1782,411.8946322
C1629,117.4264831
C1708,236.5980317
C2144,472.2100092
C1617,773.7264884
C1149,499.9146695
C1323,363.8216388
C1064,696.8299115
C1019,209.3014361
C2269,530.9735651
C1416,812.0427185
C1250,905.0658018
C1741,400.0782835
C1016,670.9177532
C2675,1056.149696
C2436,669.5196012
C2039,904.008398
C1253,847.5750169
C2028,1084.966262
C1166,287.6915832
C1135,213.7715599
C1216,267.119997
C1593,191.8811295
C1826,153.6830846
C1827,399.0221416
C1564,270.3860566
C1495,944.5506015
C2653,900.9776903
C1392,609.289402
C2128,222.6403346
C1282,589.5168724
C1521,1089.598975
C2076,941.3364143
C1060,577.2936717
C2473,905.9392895
C2557,687.6563041
C1835,821.4771174
C2224,502.3153136
C2222,332.8018017
C2430,800.1546819
C2497,684.5361793
C1494,1110.641654
C1457,581.3063579
C1525,1005.75369
C1712,556.2627182
C2267,963.8621125
C1623,249.0197637
C2131,470.6901976
C2691,1199.305674
C1147,779.1549675
C1692,833.4569933
C1570,780.2511232
C1474,94.1679997
C1633,0.97405259
C2113,492.0543624
C2175,879.9333788
C2303,1559.297819
C2547,578.8643525
C2292,721.6099074
C1496,749.9435648
C1289,338.8902684
C1849,678.1739365
C1003,234.4743289
C2268,438.6929379
C2551,555.164298
C2688,110.8627235
C1030,40.71859163
C1327,13.61331053
C2451,492.7646971
C1749,535.1708643
C1349,260.5721415
C2043,216.744063
C1229,216.794089
C2363,435.3763482
C1414,484.2629054
C2174,475.7764452
C2091,69.3599611
C2335,661.9491197
C1841,68.612318
C2404,77.4828589
C1683,181.7471919
C1038,290.4860875
C2456,180.8778268
C1266,372.0444004
C2152,43.22710016
C1267,258.6629574
C2189,136.0568496
